Time,Lat,Long,SST,SSTa,SS,SSa,Depth
1993-05-25 00:00:00.0000000,2,-78.85,28.0,-0.05801905,32.0,0.43833333,0
1993-05-25 00:00:00.0000000,2,-78.85,28.2,0.20404444,32.0,-0.05591556,5
1993-05-25 00:00:00.0000000,2,-78.85,28.2,0.24403636,33.0,0.63949773,10
1993-05-25 00:00:00.0000000,2,-78.85,28.2,0.28509091,33.0,0.33748636,15
1993-05-25 00:00:00.0000000,2,-78.85,28.2,0.42887046,34.0,1.08512046,20
1993-05-25 00:00:00.0000000,2,-78.85,28.2,0.82017907,36.0,2.88440465,25
1993-05-25 00:00:00.0000000,2,-78.85,28.0,0.99220455,36.0,2.72755682,30
1993-05-25 00:00:00.0000000,2,-78.85,27.8,1.69746667,36.0,2.51158222,35
1993-05-25 00:00:00.0000000,2,-78.85,24.9,0.55494773,36.0,2.17330455,40
1993-05-25 00:00:00.0000000,2,-78.85,23.8,1.72770909,36.0,1.83012273,45
1993-05-25 00:00:00.0000000,2,-78.85,23.5,3.18528636,36.0,1.64305,50
1993-06-11 00:00:00.0000000,2,-78.85,29.9,2.266275,30.0,-1.45018,0
1993-06-11 00:00:00.0000000,2,-78.85,29.8,2.01362889,32.0,0.05240889,5
1993-06-11 00:00:00.0000000,2,-78.85,29.5,1.70830444,32.0,-0.09794,10
1993-06-11 00:00:00.0000000,2,-78.85,29.5,1.71131556,32.0,-0.26013778,15
1993-06-11 00:00:00.0000000,2,-78.85,29.0,1.24016667,34.0,1.44185778,20
1993-06-11 00:00:00.0000000,2,-78.85,29.0,1.26734651,34.0,1.29002791,25
1993-06-11 00:00:00.0000000,2,-78.85,27.2,-0.35079524,34.0,1.16578571,30
1993-06-11 00:00:00.0000000,2,-78.85,27.0,0.04853171,35.0,1.96507317,35
1993-06-11 00:00:00.0000000,2,-78.85,27.0,2.17000238,35.0,1.4679881,40
1993-06-11 00:00:00.0000000,2,-78.85,25.0,3.34576829,35.0,0.81610976,45
1993-06-11 00:00:00.0000000,2,-78.85,23.5,3.48060256,36.0,1.52031539,50
1993-06-25 00:00:00.0000000,2,-78.85,29.2,1.566275,31.0,-0.45018,0
1993-06-25 00:00:00.0000000,2,-78.85,29.0,1.21362889,32.0,0.05240889,5
1993-06-25 00:00:00.0000000,2,-78.85,28.7,0.90830444,32.0,-0.09794,10
