Time,Temp,Wvel,Wdir,Long,Lat
2021-01-01,301.2473,7.6635838,-38.754078,-78.73,1.82
2021-01-02,301.41632,7.3327622,-35.355934,-78.73,1.82
2021-01-03,301.61053,4.725046,-34.28759,-78.73,1.82
2021-01-04,301.7621,4.0486045,-19.437803,-78.73,1.82
2021-01-05,301.51993,6.2157564,-10.481695,-78.73,1.82
2021-01-06,301.5703,7.968133,-29.347456,-78.73,1.82
2021-01-07,301.59995,7.9885435,-29.584557,-78.73,1.82
2021-01-08,301.62357,7.508433,-6.7974215,-78.73,1.82
2021-01-09,301.6427,7.5163755,6.9613495,-78.73,1.82
2021-01-10,301.51334,8.369988,-10.4662,-78.73,1.82
2021-01-11,301.42368,9.109667,-13.556104,-78.73,1.82
2021-01-12,301.33682,8.271221,-6.2796626,-78.73,1.82
2021-01-13,301.3995,9.008882,-18.582096,-78.73,1.82
2021-01-14,301.48248,8.479747,-27.151548,-78.73,1.82
2021-01-15,301.38797,6.42302,-26.24136,-78.73,1.82
2021-01-16,301.32068,6.6184897,-25.656412,-78.73,1.82
2021-01-17,301.23068,6.322427,-33.964096,-78.73,1.82
2021-01-18,301.12164,7.5550337,-42.83271,-78.73,1.82
2021-01-19,301.03503,7.8562164,-35.87585,-78.73,1.82
2021-01-20,300.97968,7.436292,-35.571278,-78.73,1.82
2021-01-21,301.01477,6.1123095,-19.7328,-78.73,1.82
2021-01-22,300.995,6.0617485,-7.6812315,-78.73,1.82
2021-01-23,301.0191,7.1022024,-9.656974,-78.73,1.82
2021-01-24,300.8219,6.6953106,-13.221997,-78.73,1.82
2021-01-25,300.708,5.769865,-16.51491,-78.73,1.82
2021-01-26,300.90234,5.513464,-9.392528,-78.73,1.82
2021-01-27,301.04968,6.335922,-12.005877,-78.73,1.82
2021-01-28,301.00092,7.9631867,-18.574404,-78.73,1.82
2021-01-29,301.06024,7.762439,-10.429514,-78.73,1.82
2021-01-30,301.12573,7.4606123,-15.061508,-78.73,1.82
2021-01-31,301.15778,7.9757886,-39.566177,-78.73,1.82
2021-02-01,301.3685,5.8655443,-34.34276,-78.73,1.82
2021-02-02,301.4003,6.242995,-31.283613,-78.73,1.82
2021-02-03,301.13702,6.7816133,-35.685654,-78.73,1.82
2021-02-04,301.12225,7.092476,-46.008305,-78.73,1.82
2021-02-05,301.20972,7.09222,-35.029755,-78.73,1.82
2021-02-06,301.24826,7.358531,-24.081589,-78.73,1.82
2021-02-07,301.35483,6.44898,-9.767465,-78.73,1.82
2021-02-08,301.52612,6.749342,-29.919304,-78.73,1.82
2021-02-09,301.7936,6.1383824,-43.54081,-78.73,1.82
2021-02-10,301.88297,6.4093637,-40.027706,-78.73,1.82
2021-02-11,301.7821,4.867164,-37.220108,-78.73,1.82
2021-02-12,301.6734,4.473683,-51.177963,-78.73,1.82
2021-02-13,302.02167,3.5521588,-22.377281,-78.73,1.82
2021-02-14,302.11923,4.0361414,-3.157469,-78.73,1.82
2021-02-15,301.8763,5.017026,5.151879,-78.73,1.82
2021-02-16,301.88464,5.745467,-20.429703,-78.73,1.82
2021-02-17,301.99002,5.435175,-41.760757,-78.73,1.82
2021-02-18,302.26306,4.7836103,-59.68963,-78.73,1.82
2021-02-19,302.49884,4.57165,-65.000496,-78.73,1.82
2021-02-20,302.54156,5.3942657,-65.60265,-78.73,1.82
2021-02-21,302.57904,6.438069,-56.682106,-78.73,1.82
2021-02-22,302.41483,8.241315,-40.582767,-78.73,1.82
2021-02-23,302.19345,5.8091555,-46.659462,-78.73,1.82
2021-02-24,302.53912,2.5305505,-39.00009,-78.73,1.82
2021-02-25,302.45685,2.8141274,-24.23824,-78.73,1.82
2021-02-26,302.21933,4.324061,-10.521151,-78.73,1.82
2021-02-27,302.12012,6.2969093,-4.6024475,-78.73,1.82
2021-02-28,302.11758,4.745722,-4.7928915,-78.73,1.82
2021-03-01,302.20792,5.7487645,-3.375318,-78.73,1.82
2021-03-02,302.32184,5.0103617,-21.94838,-78.73,1.82
2021-03-03,302.32864,3.4551163,-25.146404,-78.73,1.82
2021-03-04,302.6705,1.8602352,18.19956,-78.73,1.82
2021-03-05,302.45892,3.1223514,69.19103,-78.73,1.82
2021-03-06,302.59915,2.683402,-22.22258,-78.73,1.82
2021-03-07,302.68195,2.2657897,-27.21133,-78.73,1.82
2021-03-08,302.98083,1.838331,53.335392,-78.73,1.82
2021-03-09,302.9089,2.312099,84.25801,-78.73,1.82
2021-03-10,303.28305,1.6529238,44.900436,-78.73,1.82
2021-03-11,303.32245,1.6940681,-51.123055,-78.73,1.82
2021-03-12,303.58264,1.7099646,-36.862083,-78.73,1.82
2021-03-13,303.75763,1.7295763,131.52243,-78.73,1.82
2021-03-14,303.4532,3.0094895,82.40866,-78.73,1.82
2021-03-15,303.7684,1.9952316,62.461197,-78.73,1.82
2021-03-16,304.00677,2.615081,14.157841,-78.73,1.82
2021-03-17,303.34015,6.340865,32.236362,-78.73,1.82
2021-03-18,303.1505,7.93377,44.957607,-78.73,1.82
2021-03-19,303.1169,7.0362096,19.489853,-78.73,1.82
2021-03-20,303.12372,5.7361174,-16.313438,-78.73,1.82
2021-03-21,303.10727,5.194803,6.655804,-78.73,1.82
2021-03-22,303.15762,4.6293483,-15.895124,-78.73,1.82
2021-03-23,303.15735,5.9617186,-7.113818,-78.73,1.82
2021-03-24,303.16376,7.8004932,-19.454052,-78.73,1.82
2021-03-25,303.16803,7.13398,-17.137924,-78.73,1.82
2021-03-26,,,,-78.73,1.82
2021-03-27,,,,-78.73,1.82
2021-03-28,,,,-78.73,1.82
2021-03-29,,,,-78.73,1.82
2021-03-30,,,,-78.73,1.82
2021-03-31,,,,-78.73,1.82
2021-04-01,,,,-78.73,1.82
2021-04-02,,,,-78.73,1.82
2021-04-03,,,,-78.73,1.82
2021-04-04,,,,-78.73,1.82
