Time,Depth,SST,SSH,SS,Long,Lat
2021-01-01,0.494025,,,34.58871,,
2021-01-02,0.494025,,,34.599808,,
2021-01-03,0.494025,,,34.571148,,
2021-01-04,0.494025,,,34.501205,,
2021-01-05,0.494025,,,34.472652,,
2021-01-06,0.494025,,,34.438137,,
2021-01-07,0.494025,,,34.40433,,
2021-01-08,0.494025,,,34.398808,,
2021-01-09,0.494025,,,34.387962,,
2021-01-10,0.494025,,,34.40151,,
2021-01-11,0.494025,,,34.42814,,
2021-01-12,0.494025,,,34.43328,,
2021-01-13,0.494025,,,34.407417,,
2021-01-14,0.494025,,,34.405018,,
2021-01-15,0.494025,,,34.407085,,
2021-01-16,0.494025,,,34.397064,,
2021-01-17,0.494025,,,34.394608,,
2021-01-18,0.494025,,,34.392605,,
2021-01-19,0.494025,,,34.399597,,
2021-01-20,0.494025,,,34.384846,,
2021-01-21,0.494025,,,34.3791,,
2021-01-22,0.494025,,,34.375793,,
2021-01-23,0.494025,,,34.378235,,
2021-01-24,0.494025,,,34.384068,,
2021-01-25,0.494025,,,34.38697,,
2021-01-26,0.494025,,,34.394794,,
2021-01-27,0.494025,,,34.412464,,
2021-01-28,0.494025,,,34.425854,,
2021-01-29,0.494025,,,34.441727,,
2021-01-30,0.494025,,,34.51715,,
2021-01-31,0.494025,,,34.53843,,
2021-02-01,0.494025,,,34.49253,,
2021-02-02,0.494025,,,34.494274,,
2021-02-03,0.494025,,,34.569763,,
2021-02-04,0.494025,,,34.65245,,
2021-02-05,0.494025,,,34.678562,,
2021-02-06,0.494025,,,34.686172,,
2021-02-07,0.494025,,,34.695538,,
2021-02-08,0.494025,,,34.704113,,
2021-02-09,0.494025,,,34.70601,,
2021-02-10,0.494025,,,34.686695,,
2021-02-11,0.494025,,,34.6741,,
2021-02-12,0.494025,,,34.676754,,
2021-02-13,0.494025,,,34.670063,,
2021-02-14,0.494025,,,34.658672,,
2021-02-15,0.494025,,,34.666565,,
2021-02-16,0.494025,,,34.68375,,
2021-02-17,0.494025,,,34.62319,,
2021-02-18,0.494025,,,34.572796,,
2021-02-19,0.494025,,,34.582767,,
2021-02-20,0.494025,,,34.583946,,
2021-02-21,0.494025,,,34.58108,,
2021-02-22,0.494025,,,34.59405,,
2021-02-23,0.494025,,,34.582294,,
2021-02-24,0.494025,,,34.6139,,
2021-02-25,0.494025,,,34.628765,,
2021-02-26,0.494025,,,34.635098,,
2021-02-27,0.494025,,,34.648735,,
2021-02-28,0.494025,,,34.67035,,
2021-03-01,0.494025,26.613445,0.18068592,34.69295,-78.73,1.82
2021-03-02,0.494025,26.746338,0.18490583,34.728634,-78.73,1.82
2021-03-03,0.494025,26.82968,0.18620323,34.780987,-78.73,1.82
2021-03-04,0.494025,26.955824,0.1964531,34.808865,-78.73,1.82
2021-03-05,0.494025,27.036982,0.19813816,34.759624,-78.73,1.82
2021-03-06,0.494025,27.090796,0.19654794,34.618126,-78.73,1.82
2021-03-07,0.494025,27.10084,0.20053203,34.57793,-78.73,1.82
2021-03-08,0.494025,27.083736,0.2104284,34.521133,-78.73,1.82
2021-03-09,0.494025,27.152256,0.1986279,34.300594,-78.73,1.82
2021-03-10,0.494025,27.323553,0.20239295,34.4091,-78.73,1.82
2021-03-11,0.494025,27.363377,0.176902,34.46582,-78.73,1.82
2021-03-12,0.494025,27.446646,0.18330033,34.48847,-78.73,1.82
