Time,SST,SS,Depth,Long,Lat
2019-12-16,27.025,31.6149,1.0,-78.85,2.0
2019-12-16,27.0271,31.6117,2.0,-78.85,2.0
2019-12-16,27.0272,31.6128,3.0,-78.85,2.0
2019-12-16,27.028,31.6196,4.0,-78.85,2.0
2019-12-16,27.0281,31.6245,5.0,-78.85,2.0
2019-12-16,27.0277,31.6305,6.0,-78.85,2.0
2019-12-16,27.0247,31.6517,7.0,-78.85,2.0
2019-12-16,27.0072,31.6849,8.0,-78.85,2.0
2019-12-16,26.9917,31.7129,9.0,-78.85,2.0
2019-12-16,26.9674,31.7971,10.0,-78.85,2.0
2019-12-16,26.8866,32.0339,11.0,-78.85,2.0
2019-12-16,26.7656,32.3542,12.0,-78.85,2.0
2019-12-16,26.7533,32.6739,13.0,-78.85,2.0
2019-12-16,26.8724,32.7222,14.0,-78.85,2.0
2019-12-16,26.9627,32.7197,15.0,-78.85,2.0
2019-12-16,26.9924,32.7139,16.0,-78.85,2.0
2019-12-16,26.9905,32.7171,17.0,-78.85,2.0
2019-12-16,26.9834,32.7254,18.0,-78.85,2.0
2019-12-16,26.9718,32.7376,19.0,-78.85,2.0
2019-12-16,26.9695,32.7442,20.0,-78.85,2.0
2019-12-16,26.9677,32.7466,21.0,-78.85,2.0
2019-12-16,26.9668,32.748,22.0,-78.85,2.0
2019-12-16,26.9661,32.7499,23.0,-78.85,2.0
2019-12-16,26.9655,32.7504,24.0,-78.85,2.0
2019-12-16,26.9656,32.7529,25.0,-78.85,2.0
2019-12-16,26.9659,32.7584,26.0,-78.85,2.0
2019-12-16,26.9681,32.7638,27.0,-78.85,2.0
2019-12-16,26.9707,32.7693,28.0,-78.85,2.0
2019-12-16,26.9741,32.7778,29.0,-78.85,2.0
2019-12-16,26.9822,32.8211,30.0,-78.85,2.0
2019-12-16,26.9997,32.8659,31.0,-78.85,2.0
2019-12-16,27.0038,32.8623,32.0,-78.85,2.0
2019-12-16,26.9865,32.8516,33.0,-78.85,2.0
2019-12-16,26.9647,32.8498,34.0,-78.85,2.0
